,title,href,views_mn,group,subgroup,rank
4,Coronavirus,/wiki/Coronavirus,37,Life,,5
5,Tiger,/wiki/Tiger,37,Life,,5
6,Human,/wiki/Human,37,Life,,5
7,Dinosaur,/wiki/Dinosaur,29,Life,,8
8,Elephant,/wiki/Elephant,27,Life,,9
9,Virus,/wiki/Virus,26,Life,,10
10,Horse,/wiki/Horse,25,Life,,11
11,Photosynthesis,/wiki/Photosynthesis,23,Life,,12
12,Evolution,/wiki/Evolution,22,Life,,13
13,Apple,/wiki/Apple,22,Life,,13
14,Bird,/wiki/Bird,22,Life,,13
15,Mammal,/wiki/Mammal,21,Life,,16
16,Potato,/wiki/Potato,21,Life,,16
17,Polar bear,/wiki/Polar_bear,21,Life,,16
18,Shark,/wiki/Shark,20,Life,,19
19,Snake,/wiki/Snake,20,Life,,19
20,Spider,/wiki/Spider,20,Life,,19
21,Rabbit,/wiki/Rabbit,20,Life,,19
22,Platypus,/wiki/Platypus,20,Life,,19
23,Dolphin,/wiki/Dolphin,20,Life,,19
24,Tyrannosaurus,/wiki/Tyrannosaurus,19,Life,,25
25,Cougar,/wiki/Cougar,19,Life,,25
26,Jaguar,/wiki/Jaguar,19,Life,,25
27,Chicken,/wiki/Chicken,19,Life,,25
28,Maize,/wiki/Maize,19,Life,,25
29,Cattle,/wiki/Cattle,18,Life,,30
30,Dodo,/wiki/Dodo,18,Life,,30
31,Turmeric,/wiki/Turmeric,18,Life,,30
32,Tomato,/wiki/Tomato,18,Life,,30
33,Cheetah,/wiki/Cheetah,18,Life,,30
34,Giraffe,/wiki/Giraffe,18,Life,,30
35,Bear,/wiki/Bear,18,Life,,30
36,Raccoon,/wiki/Raccoon,18,Life,,30
37,Octopus,/wiki/Octopus,18,Life,,30
0,World War II,/wiki/World_War_II,145,Civilization,Wars,1
1,World War I,/wiki/World_War_I,121,Civilization,Wars,2
2,Vietnam War,/wiki/Vietnam_War,82,Civilization,Wars,3
3,American Civil War,/wiki/American_Civil_War,71,Civilization,Wars,4
8,Korean War,/wiki/Korean_War,45,Civilization,Wars,5
9,Russo-Ukrainian War,/wiki/Russo-Ukrainian_War,34,Civilization,Wars,6
10,American Revolutionary War,/wiki/American_Revolutionary_War,33,Civilization,Wars,7
11,Syrian civil war,/wiki/Syrian_civil_war,31,Civilization,Wars,8
13,Gulf War,/wiki/Gulf_War,30,Civilization,Wars,9
14,Iraq War,/wiki/Iraq_War,29,Civilization,Wars,10
15,Crusades,/wiki/Crusades,24,Civilization,Wars,11
16,Falklands War,/wiki/Falklands_War,23,Civilization,Wars,12
18,War in Afghanistan (2001–2021),/wiki/War_in_Afghanistan_(2001%E2%80%932021),22,Civilization,Wars,13
23,Six-Day War,/wiki/Six-Day_War,18,Civilization,Wars,14
25,Crimean War,/wiki/Crimean_War,18,Civilization,Wars,14
27,Spanish Civil War,/wiki/Spanish_Civil_War,17,Civilization,Wars,16
28,War of 1812,/wiki/War_of_1812,15,Civilization,Wars,17
30,French and Indian War,/wiki/French_and_Indian_War,14,Civilization,Wars,18
31,Napoleonic Wars,/wiki/Napoleonic_Wars,14,Civilization,Wars,18
32,Yom Kippur War,/wiki/Yom_Kippur_War,14,Civilization,Wars,18
33,Mexican–American War,/wiki/Mexican%E2%80%93American_War,13,Civilization,Wars,21
34,Bosnian War,/wiki/Bosnian_War,13,Civilization,Wars,21
