,rank,title,views_mn,href,group,subgroup,continent,data_completed,sport,country,time,artist
124,93,Israel,78,/wiki/Israel,Top-100 list,,,,,,,
125,97,"Princess Margaret, Countess of Snowdon",77,"/wiki/Princess_Margaret,_Countess_of_Snowdon",Top-100 list,,,,,,,
126,97,John Cena,77,/wiki/John_Cena,Top-100 list,,,,,,,
127,97,Charles Manson,77,/wiki/Charles_Manson,Top-100 list,,,,,,,
128,97,Ryan Reynolds,77,/wiki/Ryan_Reynolds,Top-100 list,,,,,,,
129,97,Brad Pitt,77,/wiki/Brad_Pitt,Top-100 list,,,,,,,
130,97,Vladimir Putin,77,/wiki/Vladimir_Putin,Top-100 list,,,,,,,
0,1,Earth,80,/wiki/Earth,Universe,,,,,,,
1,2,Sun,40,/wiki/Sun,Universe,,,,,,,
2,3,Moon,39,/wiki/Moon,Universe,,,,,,,
3,[a],Skathi (moon),38,/wiki/Skathi_(moon),Universe,,,,,,,
4,4,Black hole,37,/wiki/Black_hole,Universe,,,,,,,
5,4,Mars,37,/wiki/Mars,Universe,,,,,,,
6,6,Solar System,36,/wiki/Solar_System,Universe,,,,,,,
7,7,Pluto,31,/wiki/Pluto,Universe,,,,,,,
8,8,Big Bang,30,/wiki/Big_Bang,Universe,,,,,,,
9,9,Milky Way,26,/wiki/Milky_Way,Universe,,,,,,,
10,10,Saturn,23,/wiki/Saturn,Universe,,,,,,,
11,11,Kepler's Supernova,20,/wiki/Kepler%27s_Supernova,Universe,,,,,,,
12,12,Universe,19,/wiki/Universe,Universe,,,,,,,
13,13,Dark matter,18,/wiki/Dark_matter,Universe,,,,,,,
14,14,Galaxy,16,/wiki/Galaxy,Universe,,,,,,,
15,15,Jupiter,15,/wiki/Jupiter,Universe,,,,,,,
16,16,Venus,14,/wiki/Venus,Universe,,,,,,,
17,17,Supernovae,13,/wiki/Supernovae,Universe,,,,,,,
18,18,Andromeda Galaxy,12,/wiki/Andromeda_Galaxy,Universe,,,,,,,
19,19,Mercury (planet),10,/wiki/Mercury_(planet),Universe,,,,,,,
20,20,Neptune,9.5,/wiki/Neptune,Universe,,,,,,,
21,21,Uranus,9.2,/wiki/Uranus,Universe,,,,,,,
22,22,Solar eclipse,7.6,/wiki/Solar_eclipse,Universe,,,,,,,
23,23,Lunar eclipse,7.2,/wiki/Lunar_eclipse,Universe,,,,,,,
24,24,Dark energy,7.0,/wiki/Dark_energy,Universe,,,,,,,
25,24,Halley's Comet,7.0,/wiki/Halley%27s_Comet,Universe,,,,,,,
26,26,Event horizon,6.5,/wiki/Event_horizon,Universe,,,,,,,
27,27,Titan (moon),6.2,/wiki/Titan_(moon),Universe,,,,,,,
28,28,Eclipse,5.7,/wiki/Eclipse,Universe,,,,,,,
29,28,Sirius,5.7,/wiki/Sirius,Universe,,,,,,,
30,30,Winter solstice,5.4,/wiki/Winter_solstice,Universe,,,,,,,
31,30,Ceres (dwarf planet),5.4,/wiki/Ceres_(dwarf_planet),Universe,,,,,,,
32,30,Alpha Centauri,5.4,/wiki/Alpha_Centauri,Universe,,,,,,,
0,1,Mount Everest,46,/wiki/Mount_Everest,Earth,,,,,,,
1,2,Bermuda Triangle,44,/wiki/Bermuda_Triangle,Earth,,,,,,,
2,3,Africa,40,/wiki/Africa,Earth,,,,,,,
3,4,Hurricane Katrina,36,/wiki/Hurricane_Katrina,Earth,,,,,,,
4,5,North America,34,/wiki/North_America,Earth,,,,,,,
5,6,Earthquake,32,/wiki/Earthquake,Earth,,,,,,,
6,7,Climate change,31,/wiki/Climate_change,Earth,,,,,,,
7,7,Continent,31,/wiki/Continent,Earth,,,,,,,
8,9,Antarctica,30,/wiki/Antarctica,Earth,,,,,,,
9,9,Asia,30,/wiki/Asia,Earth,,,,,,,
10,11,Tsunami,28,/wiki/Tsunami,Earth,,,,,,,
11,12,Volcano,26,/wiki/Volcano,Earth,,,,,,,
12,13,South America,23,/wiki/South_America,Earth,,,,,,,
13,14,2004 Indian Ocean earthquake and tsunami,22,/wiki/2004_Indian_Ocean_earthquake_and_tsunami,Earth,,,,,,,
14,15,Grand Canyon,19,/wiki/Grand_Canyon,Earth,,,,,,,
15,15,Canary Islands,19,/wiki/Canary_Islands,Earth,,,,,,,
16,17,Himalayas,17,/wiki/Himalayas,Earth,,,,,,,
17,17,2011 Tōhoku earthquake and tsunami,17,/wiki/2011_T%C5%8Dhoku_earthquake_and_tsunami,Earth,,,,,,,
18,17,Yellowstone National Park,17,/wiki/Yellowstone_National_Park,Earth,,,,,,,
19,17,Americas,17,/wiki/Americas,Earth,,,,,,,
20,21,Nile,16,/wiki/Nile,Earth,,,,,,,
21,21,Crimea,16,/wiki/Crimea,Earth,,,,,,,
22,21,Mississippi,16,/wiki/Mississippi,Earth,,,,,,,
23,24,Ocean,15,/wiki/Ocean,Earth,,,,,,,
24,24,Pacific Ocean,15,/wiki/Pacific_Ocean,Earth,,,,,,,
25,24,Balkans,15,/wiki/Balkans,Earth,,,,,,,
26,24,Lightning,15,/wiki/Lightning,Earth,,,,,,,
27,28,Ice Age,14,/wiki/Ice_Age,Earth,,,,,,,
28,28,Atlantic Ocean,14,/wiki/Atlantic_Ocean,Earth,,,,,,,
29,30,Amazon River,13,/wiki/Amazon_River,Earth,,,,,,,
30,30,Ganges,13,/wiki/Ganges,Earth,,,,,,,
31,30,Palau,13,/wiki/Palau,Earth,,,,,,,
32,30,Long Island,13,/wiki/Long_Island,Earth,,,,,,,
0,1,Cat,61,/wiki/Cat,Life,,,,,,,
1,2,Dog,50,/wiki/Dog,Life,,,,,,,
2,3,Animal,38,/wiki/Animal,Life,,,,,,,
3,3,Lion,38,/wiki/Lion,Life,,,,,,,
4,5,Coronavirus,37,/wiki/Coronavirus,Life,,,,,,,
5,5,Tiger,37,/wiki/Tiger,Life,,,,,,,
6,5,Human,37,/wiki/Human,Life,,,,,,,
7,8,Dinosaur,29,/wiki/Dinosaur,Life,,,,,,,
8,9,Elephant,27,/wiki/Elephant,Life,,,,,,,
9,10,Virus,26,/wiki/Virus,Life,,,,,,,
10,11,Horse,25,/wiki/Horse,Life,,,,,,,
11,12,Photosynthesis,23,/wiki/Photosynthesis,Life,,,,,,,
12,13,Evolution,22,/wiki/Evolution,Life,,,,,,,
13,13,Apple,22,/wiki/Apple,Life,,,,,,,
14,13,Bird,22,/wiki/Bird,Life,,,,,,,
15,16,Mammal,21,/wiki/Mammal,Life,,,,,,,
16,16,Potato,21,/wiki/Potato,Life,,,,,,,
17,16,Polar bear,21,/wiki/Polar_bear,Life,,,,,,,
18,19,Shark,20,/wiki/Shark,Life,,,,,,,
19,19,Snake,20,/wiki/Snake,Life,,,,,,,
20,19,Spider,20,/wiki/Spider,Life,,,,,,,
21,19,Rabbit,20,/wiki/Rabbit,Life,,,,,,,
22,19,Platypus,20,/wiki/Platypus,Life,,,,,,,
23,19,Dolphin,20,/wiki/Dolphin,Life,,,,,,,
24,25,Tyrannosaurus,19,/wiki/Tyrannosaurus,Life,,,,,,,
25,25,Cougar,19,/wiki/Cougar,Life,,,,,,,
26,25,Jaguar,19,/wiki/Jaguar,Life,,,,,,,
27,25,Chicken,19,/wiki/Chicken,Life,,,,,,,
28,25,Maize,19,/wiki/Maize,Life,,,,,,,
29,30,Cattle,18,/wiki/Cattle,Life,,,,,,,
30,30,Dodo,18,/wiki/Dodo,Life,,,,,,,
31,30,Turmeric,18,/wiki/Turmeric,Life,,,,,,,
