rank,title,views_mn,href,group,subgroup,continent,data_completed,sport,country,time,artist
14,2004 Indian Ocean earthquake and tsunami,22,/wiki/2004_Indian_Ocean_earthquake_and_tsunami,Earth,,,,,,,
15,Grand Canyon,19,/wiki/Grand_Canyon,Earth,,,,,,,
15,Canary Islands,19,/wiki/Canary_Islands,Earth,,,,,,,
17,Himalayas,17,/wiki/Himalayas,Earth,,,,,,,
17,2011 Tōhoku earthquake and tsunami,17,/wiki/2011_T%C5%8Dhoku_earthquake_and_tsunami,Earth,,,,,,,
17,Yellowstone National Park,17,/wiki/Yellowstone_National_Park,Earth,,,,,,,
17,Americas,17,/wiki/Americas,Earth,,,,,,,
21,Nile,16,/wiki/Nile,Earth,,,,,,,
21,Crimea,16,/wiki/Crimea,Earth,,,,,,,
21,Mississippi,16,/wiki/Mississippi,Earth,,,,,,,
24,Ocean,15,/wiki/Ocean,Earth,,,,,,,
24,Pacific Ocean,15,/wiki/Pacific_Ocean,Earth,,,,,,,
24,Balkans,15,/wiki/Balkans,Earth,,,,,,,
24,Lightning,15,/wiki/Lightning,Earth,,,,,,,
28,Ice Age,14,/wiki/Ice_Age,Earth,,,,,,,
28,Atlantic Ocean,14,/wiki/Atlantic_Ocean,Earth,,,,,,,
30,Amazon River,13,/wiki/Amazon_River,Earth,,,,,,,
30,Ganges,13,/wiki/Ganges,Earth,,,,,,,
30,Palau,13,/wiki/Palau,Earth,,,,,,,
30,Long Island,13,/wiki/Long_Island,Earth,,,,,,,
1,Cat,61,/wiki/Cat,Life,,,,,,,
2,Dog,50,/wiki/Dog,Life,,,,,,,
3,Animal,38,/wiki/Animal,Life,,,,,,,
3,Lion,38,/wiki/Lion,Life,,,,,,,
5,Coronavirus,37,/wiki/Coronavirus,Life,,,,,,,
5,Tiger,37,/wiki/Tiger,Life,,,,,,,
5,Human,37,/wiki/Human,Life,,,,,,,
8,Dinosaur,29,/wiki/Dinosaur,Life,,,,,,,
9,Elephant,27,/wiki/Elephant,Life,,,,,,,
10,Virus,26,/wiki/Virus,Life,,,,,,,
11,Horse,25,/wiki/Horse,Life,,,,,,,
12,Photosynthesis,23,/wiki/Photosynthesis,Life,,,,,,,
13,Evolution,22,/wiki/Evolution,Life,,,,,,,
13,Apple,22,/wiki/Apple,Life,,,,,,,
13,Bird,22,/wiki/Bird,Life,,,,,,,
16,Mammal,21,/wiki/Mammal,Life,,,,,,,
16,Potato,21,/wiki/Potato,Life,,,,,,,
16,Polar bear,21,/wiki/Polar_bear,Life,,,,,,,
19,Shark,20,/wiki/Shark,Life,,,,,,,
19,Snake,20,/wiki/Snake,Life,,,,,,,
19,Spider,20,/wiki/Spider,Life,,,,,,,
19,Rabbit,20,/wiki/Rabbit,Life,,,,,,,
19,Platypus,20,/wiki/Platypus,Life,,,,,,,
19,Dolphin,20,/wiki/Dolphin,Life,,,,,,,
25,Tyrannosaurus,19,/wiki/Tyrannosaurus,Life,,,,,,,
25,Cougar,19,/wiki/Cougar,Life,,,,,,,
25,Jaguar,19,/wiki/Jaguar,Life,,,,,,,
25,Chicken,19,/wiki/Chicken,Life,,,,,,,
25,Maize,19,/wiki/Maize,Life,,,,,,,
30,Cattle,18,/wiki/Cattle,Life,,,,,,,
30,Dodo,18,/wiki/Dodo,Life,,,,,,,
30,Turmeric,18,/wiki/Turmeric,Life,,,,,,,
30,Tomato,18,/wiki/Tomato,Life,,,,,,,
30,Cheetah,18,/wiki/Cheetah,Life,,,,,,,
30,Giraffe,18,/wiki/Giraffe,Life,,,,,,,
30,Bear,18,/wiki/Bear,Life,,,,,,,
30,Raccoon,18,/wiki/Raccoon,Life,,,,,,,
30,Octopus,18,/wiki/Octopus,Life,,,,,,,
1,World War II,145,/wiki/World_War_II,Civilization,Wars,,,,,,
2,World War I,121,/wiki/World_War_I,Civilization,Wars,,,,,,
3,Vietnam War,82,/wiki/Vietnam_War,Civilization,Wars,,,,,,
4,American Civil War,71,/wiki/American_Civil_War,Civilization,Wars,,,,,,
[a],Atomic bombings of Hiroshima and Nagasaki,54,/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki,Civilization,Wars,,,,,,
[b],2022 Russian invasion of Ukraine,50,/wiki/2022_Russian_invasion_of_Ukraine,Civilization,Wars,,,,,,
[c],Cold War,49,/wiki/Cold_War,Civilization,Wars,,,,,,
[a],Attack on Pearl Harbor,46,/wiki/Attack_on_Pearl_Harbor,Civilization,Wars,,,,,,
5,Korean War,45,/wiki/Korean_War,Civilization,Wars,,,,,,
6,Russo-Ukrainian War,34,/wiki/Russo-Ukrainian_War,Civilization,Wars,,,,,,
7,American Revolutionary War,33,/wiki/American_Revolutionary_War,Civilization,Wars,,,,,,
8,Syrian civil war,31,/wiki/Syrian_civil_war,Civilization,Wars,,,,,,
[a],Normandy landings,30,/wiki/Normandy_landings,Civilization,Wars,,,,,,
9,Gulf War,30,/wiki/Gulf_War,Civilization,Wars,,,,,,
10,Iraq War,29,/wiki/Iraq_War,Civilization,Wars,,,,,,
11,Crusades,24,/wiki/Crusades,Civilization,Wars,,,,,,
12,Falklands War,23,/wiki/Falklands_War,Civilization,Wars,,,,,,
[a],Battle of Stalingrad,23,/wiki/Battle_of_Stalingrad,Civilization,Wars,,,,,,
13,War in Afghanistan (2001–2021),22,/wiki/War_in_Afghanistan_(2001%E2%80%932021),Civilization,Wars,,,,,,
[a],Battle of the Bulge,19,/wiki/Battle_of_the_Bulge,Civilization,Wars,,,,,,
[a],Battle of Midway,19,/wiki/Battle_of_Midway,Civilization,Wars,,,,,,
[d],Battle of Waterloo,19,/wiki/Battle_of_Waterloo,Civilization,Wars,,,,,,
[e],World War III,18,/wiki/World_War_III,Civilization,Wars,,,,,,
14,Six-Day War,18,/wiki/Six-Day_War,Civilization,Wars,,,,,,
[c],Israeli–Palestinian conflict,18,/wiki/Israeli%E2%80%93Palestinian_conflict,Civilization,Wars,,,,,,
14,Crimean War,18,/wiki/Crimean_War,Civilization,Wars,,,,,,
[a],Battle of Dunkirk,17,/wiki/Battle_of_Dunkirk,Civilization,Wars,,,,,,
16,Spanish Civil War,17,/wiki/Spanish_Civil_War,Civilization,Wars,,,,,,
17,War of 1812,15,/wiki/War_of_1812,Civilization,Wars,,,,,,
[c],The Troubles,14,/wiki/The_Troubles,Civilization,Wars,,,,,,
18,French and Indian War,14,/wiki/French_and_Indian_War,Civilization,Wars,,,,,,
18,Napoleonic Wars,14,/wiki/Napoleonic_Wars,Civilization,Wars,,,,,,
18,Yom Kippur War,14,/wiki/Yom_Kippur_War,Civilization,Wars,,,,,,
21,Mexican–American War,13,/wiki/Mexican%E2%80%93American_War,Civilization,Wars,,,,,,
21,Bosnian War,13,/wiki/Bosnian_War,Civilization,Wars,,,,,,
21,Kargil War,13,/wiki/Kargil_War,Civilization,Wars,,,,,,
[a],Battle of Britain,13,/wiki/Battle_of_Britain,Civilization,Wars,,,,,,
[f],2003 invasion of Iraq,13,/wiki/2003_invasion_of_Iraq,Civilization,Wars,,,,,,
24,Indian Rebellion of 1857,12,/wiki/Indian_Rebellion_of_1857,Civilization,Wars,,,,,,
24,Iran–Iraq War,12,/wiki/Iran%E2%80%93Iraq_War,Civilization,Wars,,,,,,
[a],Dunkirk evacuation,12,/wiki/Dunkirk_evacuation,Civilization,Wars,,,,,,
26,Boxer Rebellion,11,/wiki/Boxer_Rebellion,Civilization,Wars,,,,,,
26,Winter War,11,/wiki/Winter_War,Civilization,Wars,,,,,,
28,Second Boer War,10,/wiki/Second_Boer_War,Civilization,Wars,,,,,,
28,Kosovo War,10,/wiki/Kosovo_War,Civilization,Wars,,,,,,
[g],Trojan War,10,/wiki/Trojan_War,Civilization,Wars,,,,,,
[a],Battle for France,9.5,/wiki/Battle_for_France,Civilization,Wars,,,,,,
30,Soviet-Afghan War,9.5,/wiki/Soviet-Afghan_War,Civilization,Wars,,,,,,
30,Hundred Years' War,9.5,/wiki/Hundred_Years%27_War,Civilization,Wars,,,,,,
1,Soviet Union,63,/wiki/Soviet_Union,Civilization,Empires and hegemonies,,,,,,
