title,href,views_mn,group,subgroup,rank
"Meghan, Duchess of Sussex","/wiki/Meghan,_Duchess_of_Sussex",83,Top-100 list,,77
Muhammad Ali,/wiki/Muhammad_Ali,83,Top-100 list,,77
Will Smith,/wiki/Will_Smith,83,Top-100 list,,77
Ted Bundy,/wiki/Ted_Bundy,82,Top-100 list,,80
Pablo Escobar,/wiki/Pablo_Escobar,82,Top-100 list,,80
Mila Kunis,/wiki/Mila_Kunis,82,Top-100 list,,80
Vietnam War,/wiki/Vietnam_War,82,Top-100 list,,80
Mark Zuckerberg,/wiki/Mark_Zuckerberg,82,Top-100 list,,80
Manchester United F.C.,/wiki/Manchester_United_F.C.,81,Top-100 list,,85
William Shakespeare,/wiki/William_Shakespeare,81,Top-100 list,,85
Titanic[26],/wiki/Titanic,80,Top-100 list,,87
Tom Brady,/wiki/Tom_Brady,80,Top-100 list,,87
Jay-Z[27],/wiki/Jay-Z,80,Top-100 list,,87
Singapore,/wiki/Singapore,80,Top-100 list,,87
Earth,/wiki/Earth,80,Top-100 list,,87
Bill Gates,/wiki/Bill_Gates,80,Top-100 list,,87
Winston Churchill,/wiki/Winston_Churchill,78,Top-100 list,,93
Bruce Lee,/wiki/Bruce_Lee,78,Top-100 list,,93
Nicki Minaj,/wiki/Nicki_Minaj,78,Top-100 list,,93
Israel,/wiki/Israel,78,Top-100 list,,93
"Princess Margaret, Countess of Snowdon","/wiki/Princess_Margaret,_Countess_of_Snowdon",77,Top-100 list,,97
John Cena,/wiki/John_Cena,77,Top-100 list,,97
Charles Manson,/wiki/Charles_Manson,77,Top-100 list,,97
Ryan Reynolds,/wiki/Ryan_Reynolds,77,Top-100 list,,97
Brad Pitt,/wiki/Brad_Pitt,77,Top-100 list,,97
Vladimir Putin,/wiki/Vladimir_Putin,77,Top-100 list,,97
Earth,/wiki/Earth,80,Universe,,1
Sun,/wiki/Sun,40,Universe,,2
Moon,/wiki/Moon,39,Universe,,3
Black hole,/wiki/Black_hole,37,Universe,,4
Mars,/wiki/Mars,37,Universe,,4
Solar System,/wiki/Solar_System,36,Universe,,6
Pluto,/wiki/Pluto,31,Universe,,7
Big Bang,/wiki/Big_Bang,30,Universe,,8
Milky Way,/wiki/Milky_Way,26,Universe,,9
Saturn,/wiki/Saturn,23,Universe,,10
Kepler's Supernova,/wiki/Kepler%27s_Supernova,20,Universe,,11
Universe,/wiki/Universe,19,Universe,,12
Dark matter,/wiki/Dark_matter,18,Universe,,13
Galaxy,/wiki/Galaxy,16,Universe,,14
Jupiter,/wiki/Jupiter,15,Universe,,15
Venus,/wiki/Venus,14,Universe,,16
Supernovae,/wiki/Supernovae,13,Universe,,17
Andromeda Galaxy,/wiki/Andromeda_Galaxy,12,Universe,,18
Mercury (planet),/wiki/Mercury_(planet),10,Universe,,19
Neptune,/wiki/Neptune,9.5,Universe,,20
Uranus,/wiki/Uranus,9.2,Universe,,21
Solar eclipse,/wiki/Solar_eclipse,7.6,Universe,,22
Lunar eclipse,/wiki/Lunar_eclipse,7.2,Universe,,23
Dark energy,/wiki/Dark_energy,7.0,Universe,,24
Halley's Comet,/wiki/Halley%27s_Comet,7.0,Universe,,24
Event horizon,/wiki/Event_horizon,6.5,Universe,,26
Titan (moon),/wiki/Titan_(moon),6.2,Universe,,27
Eclipse,/wiki/Eclipse,5.7,Universe,,28
Sirius,/wiki/Sirius,5.7,Universe,,28
Winter solstice,/wiki/Winter_solstice,5.4,Universe,,30
Ceres (dwarf planet),/wiki/Ceres_(dwarf_planet),5.4,Universe,,30
Alpha Centauri,/wiki/Alpha_Centauri,5.4,Universe,,30
Mount Everest,/wiki/Mount_Everest,46,Earth,,1
Bermuda Triangle,/wiki/Bermuda_Triangle,44,Earth,,2
Africa,/wiki/Africa,40,Earth,,3
Hurricane Katrina,/wiki/Hurricane_Katrina,36,Earth,,4
North America,/wiki/North_America,34,Earth,,5
Earthquake,/wiki/Earthquake,32,Earth,,6
Climate change,/wiki/Climate_change,31,Earth,,7
Continent,/wiki/Continent,31,Earth,,7
Antarctica,/wiki/Antarctica,30,Earth,,9
Asia,/wiki/Asia,30,Earth,,9
Tsunami,/wiki/Tsunami,28,Earth,,11
Volcano,/wiki/Volcano,26,Earth,,12
South America,/wiki/South_America,23,Earth,,13
2004 Indian Ocean earthquake and tsunami,/wiki/2004_Indian_Ocean_earthquake_and_tsunami,22,Earth,,14
Grand Canyon,/wiki/Grand_Canyon,19,Earth,,15
Canary Islands,/wiki/Canary_Islands,19,Earth,,15
Himalayas,/wiki/Himalayas,17,Earth,,17
2011 Tōhoku earthquake and tsunami,/wiki/2011_T%C5%8Dhoku_earthquake_and_tsunami,17,Earth,,17
Yellowstone National Park,/wiki/Yellowstone_National_Park,17,Earth,,17
Americas,/wiki/Americas,17,Earth,,17
Nile,/wiki/Nile,16,Earth,,21
Crimea,/wiki/Crimea,16,Earth,,21
Mississippi,/wiki/Mississippi,16,Earth,,21
Ocean,/wiki/Ocean,15,Earth,,24
Pacific Ocean,/wiki/Pacific_Ocean,15,Earth,,24
Balkans,/wiki/Balkans,15,Earth,,24
Lightning,/wiki/Lightning,15,Earth,,24
Ice Age,/wiki/Ice_Age,14,Earth,,28
Atlantic Ocean,/wiki/Atlantic_Ocean,14,Earth,,28
Amazon River,/wiki/Amazon_River,13,Earth,,30
Ganges,/wiki/Ganges,13,Earth,,30
Palau,/wiki/Palau,13,Earth,,30
Long Island,/wiki/Long_Island,13,Earth,,30
Cat,/wiki/Cat,61,Life,,1
Dog,/wiki/Dog,50,Life,,2
Animal,/wiki/Animal,38,Life,,3
Lion,/wiki/Lion,38,Life,,3
Coronavirus,/wiki/Coronavirus,37,Life,,5
Tiger,/wiki/Tiger,37,Life,,5
Human,/wiki/Human,37,Life,,5
Dinosaur,/wiki/Dinosaur,29,Life,,8
Elephant,/wiki/Elephant,27,Life,,9
Virus,/wiki/Virus,26,Life,,10
Horse,/wiki/Horse,25,Life,,11
Photosynthesis,/wiki/Photosynthesis,23,Life,,12
Evolution,/wiki/Evolution,22,Life,,13
Apple,/wiki/Apple,22,Life,,13
Bird,/wiki/Bird,22,Life,,13
Mammal,/wiki/Mammal,21,Life,,16
Potato,/wiki/Potato,21,Life,,16
Polar bear,/wiki/Polar_bear,21,Life,,16
Shark,/wiki/Shark,20,Life,,19
Snake,/wiki/Snake,20,Life,,19
Spider,/wiki/Spider,20,Life,,19
Rabbit,/wiki/Rabbit,20,Life,,19
Platypus,/wiki/Platypus,20,Life,,19
Dolphin,/wiki/Dolphin,20,Life,,19
Tyrannosaurus,/wiki/Tyrannosaurus,19,Life,,25
Cougar,/wiki/Cougar,19,Life,,25
Jaguar,/wiki/Jaguar,19,Life,,25
Chicken,/wiki/Chicken,19,Life,,25
Maize,/wiki/Maize,19,Life,,25
Cattle,/wiki/Cattle,18,Life,,30
Dodo,/wiki/Dodo,18,Life,,30
Turmeric,/wiki/Turmeric,18,Life,,30
Tomato,/wiki/Tomato,18,Life,,30
Cheetah,/wiki/Cheetah,18,Life,,30
Giraffe,/wiki/Giraffe,18,Life,,30
Bear,/wiki/Bear,18,Life,,30
Raccoon,/wiki/Raccoon,18,Life,,30
Octopus,/wiki/Octopus,18,Life,,30
World War II,/wiki/World_War_II,145,Civilization,Wars,1
World War I,/wiki/World_War_I,121,Civilization,Wars,2
Vietnam War,/wiki/Vietnam_War,82,Civilization,Wars,3
American Civil War,/wiki/American_Civil_War,71,Civilization,Wars,4
Korean War,/wiki/Korean_War,45,Civilization,Wars,5
Russo-Ukrainian War,/wiki/Russo-Ukrainian_War,34,Civilization,Wars,6
American Revolutionary War,/wiki/American_Revolutionary_War,33,Civilization,Wars,7
Syrian civil war,/wiki/Syrian_civil_war,31,Civilization,Wars,8
Gulf War,/wiki/Gulf_War,30,Civilization,Wars,9
Iraq War,/wiki/Iraq_War,29,Civilization,Wars,10
Crusades,/wiki/Crusades,24,Civilization,Wars,11
Falklands War,/wiki/Falklands_War,23,Civilization,Wars,12
War in Afghanistan (2001–2021),/wiki/War_in_Afghanistan_(2001%E2%80%932021),22,Civilization,Wars,13
Six-Day War,/wiki/Six-Day_War,18,Civilization,Wars,14
Crimean War,/wiki/Crimean_War,18,Civilization,Wars,14
Spanish Civil War,/wiki/Spanish_Civil_War,17,Civilization,Wars,16
War of 1812,/wiki/War_of_1812,15,Civilization,Wars,17
French and Indian War,/wiki/French_and_Indian_War,14,Civilization,Wars,18
Napoleonic Wars,/wiki/Napoleonic_Wars,14,Civilization,Wars,18
Yom Kippur War,/wiki/Yom_Kippur_War,14,Civilization,Wars,18
Mexican–American War,/wiki/Mexican%E2%80%93American_War,13,Civilization,Wars,21
Bosnian War,/wiki/Bosnian_War,13,Civilization,Wars,21
Kargil War,/wiki/Kargil_War,13,Civilization,Wars,21
Indian Rebellion of 1857,/wiki/Indian_Rebellion_of_1857,12,Civilization,Wars,24
Iran–Iraq War,/wiki/Iran%E2%80%93Iraq_War,12,Civilization,Wars,24
Boxer Rebellion,/wiki/Boxer_Rebellion,11,Civilization,Wars,26
Winter War,/wiki/Winter_War,11,Civilization,Wars,26
Second Boer War,/wiki/Second_Boer_War,10,Civilization,Wars,28
Kosovo War,/wiki/Kosovo_War,10,Civilization,Wars,28
Soviet-Afghan War,/wiki/Soviet-Afghan_War,9.5,Civilization,Wars,30
Hundred Years' War,/wiki/Hundred_Years%27_War,9.5,Civilization,Wars,30
Soviet Union,/wiki/Soviet_Union,63,Civilization,Empires and hegemonies,1
Ottoman Empire‎ ,/wiki/Ottoman_Empire,49,Civilization,Empires and hegemonies,2
Roman Empire‎,/wiki/Roman_Empire,43,Civilization,Empires and hegemonies,3
Nazi Germany,/wiki/Nazi_Germany,41,Civilization,Empires and hegemonies,4
British Empire,/wiki/British_Empire,32,Civilization,Empires and hegemonies,5
Byzantine Empire,/wiki/Byzantine_Empire,28,Civilization,Empires and hegemonies,6
Ancient Egypt,/wiki/Ancient_Egypt,25,Civilization,Empires and hegemonies,7
Mughal Empire,/wiki/Mughal_Empire,24,Civilization,Empires and hegemonies,8
Sparta,/wiki/Sparta,23,Civilization,Empires and hegemonies,8
Russian Empire,/wiki/Russian_Empire,18,Civilization,Empires and hegemonies,10
German Empire,/wiki/German_Empire,17,Civilization,Empires and hegemonies,10
Qing dynasty,/wiki/Qing_dynasty,16,Civilization,Empires and hegemonies,12
Holy Roman Empire‎[a],/wiki/Holy_Roman_Empire,15,Civilization,Empires and hegemonies,13
Austria-Hungary,/wiki/Austria-Hungary,15,Civilization,Empires and hegemonies,13
Inca Empire,/wiki/Inca_Empire,13,Civilization,Empires and hegemonies,15
Empire of Japan,/wiki/Empire_of_Japan,13,Civilization,Empires and hegemonies,15
Ming dynasty,/wiki/Ming_dynasty,11,Civilization,Empires and hegemonies,17
Mongol Empire,/wiki/Mongol_Empire,11,Civilization,Empires and hegemonies,18
Han dynasty,/wiki/Han_dynasty,9.4,Civilization,Empires and hegemonies,19
Maurya Empire‎,/wiki/Maurya_Empire,9.2,Civilization,Empires and hegemonies,20
Spanish Empire,/wiki/Spanish_Empire,9.0,Civilization,Empires and hegemonies,21
Tang dynasty,/wiki/Tang_dynasty,8.8,Civilization,Empires and hegemonies,22
Sumer,/wiki/Sumer,8.6,Civilization,Empires and hegemonies,23
History of Japan,/wiki/History_of_Japan,8.6,Civilization,Empires and hegemonies,23
Achaemenid Empire,/wiki/Achaemenid_Empire,8.4,Civilization,Empires and hegemonies,25
Gupta Empire,/wiki/Gupta_Empire,7.4,Civilization,Empires and hegemonies,26
Delhi Sultanate,/wiki/Delhi_Sultanate,7.4,Civilization,Empires and hegemonies,26
Umayyad Caliphate[a],/wiki/Umayyad_Caliphate,6.7,Civilization,Empires and hegemonies,28
Assyria‎ ,/wiki/Assyria,6.4,Civilization,Empires and hegemonies,29
Abbasid Caliphate,/wiki/Abbasid_Caliphate,6.1,Civilization,Empires and hegemonies,30
United States,/wiki/United_States,254,Civilization,Present countries,1
India,/wiki/India,165,Civilization,Present countries,2
United Kingdom,/wiki/United_Kingdom,144,Civilization,Present countries,3
Canada,/wiki/Canada,113,Civilization,Present countries,4
Australia,/wiki/Australia,107,Civilization,Present countries,5
China,/wiki/China,100,Civilization,Present countries,6
Russia,/wiki/Russia,98,Civilization,Present countries,7
Japan,/wiki/Japan,96,Civilization,Present countries,8
Germany,/wiki/Germany,94,Civilization,Present countries,9
France,/wiki/France,85,Civilization,Present countries,10
Singapore,/wiki/Singapore,80,Civilization,Present countries,11
Israel,/wiki/Israel,78,Civilization,Present countries,12
Pakistan,/wiki/Pakistan,68,Civilization,Present countries,13
Philippines,/wiki/Philippines,68,Civilization,Present countries,13
Brazil,/wiki/Brazil,67,Civilization,Present countries,15
Italy,/wiki/Italy,66,Civilization,Present countries,16
Netherlands[a],/wiki/Netherlands,66,Civilization,Present countries,16
New Zealand[a],/wiki/New_Zealand,66,Civilization,Present countries,16
Ukraine,/wiki/Ukraine,64,Civilization,Present countries,19
Spain,/wiki/Spain,64,Civilization,Present countries,19
Turkey,/wiki/Turkey,64,Civilization,Present countries,19
South Africa,/wiki/South_Africa,62,Civilization,Present countries,22
Mexico,/wiki/Mexico,61,Civilization,Present countries,23
Indonesia,/wiki/Indonesia,60,Civilization,Present countries,24
Switzerland,/wiki/Switzerland,58,Civilization,Present countries,25
North Korea,/wiki/North_Korea,56,Civilization,Present countries,26
Sweden,/wiki/Sweden,55,Civilization,Present countries,27
Iran,/wiki/Iran,54,Civilization,Present countries,28
United Arab Emirates,/wiki/United_Arab_Emirates,52,Civilization,Present countries,29
Egypt,/wiki/Egypt,51,Civilization,Present countries,30
Poland,/wiki/Poland,51,Civilization,Present countries,31
Federated States of Micronesia,/wiki/Federated_States_of_Micronesia,6.5,Civilization,Present countries,190
Saint Vincent and the Grenadines,/wiki/Saint_Vincent_and_the_Grenadines,6.3,Civilization,Present countries,191
Eswatini,/wiki/Eswatini,6.1,Civilization,Present countries,192
São Tomé and Príncipe,/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,5.9,Civilization,Present countries,193
Republic of the Congo,/wiki/Republic_of_the_Congo,4.9,Civilization,Present countries,194
New York City,/wiki/New_York_City,96,Civilization,Cities,1
Singapore,/wiki/Singapore,80,Civilization,Cities,2
London,/wiki/London,76,Civilization,Cities,3
Hong Kong,/wiki/Hong_Kong,62,Civilization,Cities,4
Los Angeles,/wiki/Los_Angeles,53,Civilization,Cities,5
Dubai,/wiki/Dubai,51,Civilization,Cities,6
"Washington, D.C.","/wiki/Washington,_D.C.",47,Civilization,Cities,7
Paris,/wiki/Paris,44,Civilization,Cities,8
Chicago,/wiki/Chicago,44,Civilization,Cities,8
Mumbai,/wiki/Mumbai,38,Civilization,Cities,10
San Francisco,/wiki/San_Francisco,37,Civilization,Cities,11
Rome,/wiki/Rome,33,Civilization,Cities,12
Monaco,/wiki/Monaco,33,Civilization,Cities,12
Toronto,/wiki/Toronto,33,Civilization,Cities,12
Tokyo,/wiki/Tokyo,32,Civilization,Cities,15
Philadelphia,/wiki/Philadelphia,31,Civilization,Cities,16
Machu Picchu,/wiki/Machu_Picchu,30,Civilization,Cities,17
Jerusalem,/wiki/Jerusalem,28,Civilization,Cities,18
Amsterdam,/wiki/Amsterdam,28,Civilization,Cities,18
Boston,/wiki/Boston,28,Civilization,Cities,18
Barcelona,/wiki/Barcelona,27,Civilization,Cities,21
Seattle,/wiki/Seattle,27,Civilization,Cities,21
Istanbul,/wiki/Istanbul,27,Civilization,Cities,21
Berlin,/wiki/Berlin,27,Civilization,Cities,21
Vatican,/wiki/Vatican_City,26,Civilization,Cities,25
Vancouver,/wiki/Vancouver,26,Civilization,Cities,25
Shanghai,/wiki/Shanghai,25,Civilization,Cities,27
Pompeii,/wiki/Pompeii,25,Civilization,Cities,27
Venice,/wiki/Venice,24,Civilization,Cities,29
Atlanta,/wiki/Atlanta,24,Civilization,Cities,29
Montreal,/wiki/Montreal,24,Civilization,Cities,29
Moscow,/wiki/Moscow,24,Civilization,Cities,29
Taj Mahal,/wiki/Taj_Mahal,53,Civilization,Buildings and structures,1
Burj Khalifa,/wiki/Burj_Khalifa,44,Civilization,Buildings and structures,2
Statue of Liberty,/wiki/Statue_of_Liberty,40,Civilization,Buildings and structures,3
Great Wall of China,/wiki/Great_Wall_of_China,39,Civilization,Buildings and structures,4
Eiffel Tower,/wiki/Eiffel_Tower,37,Civilization,Buildings and structures,5
Berlin Wall,/wiki/Berlin_Wall,33,Civilization,Buildings and structures,6
Machu Picchu,/wiki/Machu_Picchu,30,Civilization,Buildings and structures,7
Stonehenge,/wiki/Stonehenge,29,Civilization,Buildings and structures,8
Mount Rushmore National Memorial,/wiki/Mount_Rushmore_National_Memorial,28,Civilization,Buildings and structures,9
Colosseum,/wiki/Colosseum,28,Civilization,Buildings and structures,9
Auschwitz concentration camp,/wiki/Auschwitz_concentration_camp,28,Civilization,Buildings and structures,9
Great Pyramid of Giza,/wiki/Great_Pyramid_of_Giza,26,Civilization,Buildings and structures,12
One World Trade Center,/wiki/One_World_Trade_Center,24,Civilization,Buildings and structures,13
Empire State Building,/wiki/Empire_State_Building,23,Civilization,Buildings and structures,14
White House,/wiki/White_House,22,Civilization,Buildings and structures,15
Petra [b],/wiki/Petra,22,Civilization,Buildings and structures,15
Large Hadron Collider,/wiki/Large_Hadron_Collider,21,Civilization,Buildings and structures,17
Hagia Sophia,/wiki/Hagia_Sophia,21,Civilization,Buildings and structures,17
Golden Gate Bridge,/wiki/Golden_Gate_Bridge,18,Civilization,Buildings and structures,19
Panama Canal,/wiki/Panama_Canal,18,Civilization,Buildings and structures,19
Angkor Wat,/wiki/Angkor_Wat,17,Civilization,Buildings and structures,21
Big Ben,/wiki/Big_Ben,17,Civilization,Buildings and structures,21
Guantanamo Bay detention camp,/wiki/Guantanamo_Bay_detention_camp,17,Civilization,Buildings and structures,21
Buckingham Palace,/wiki/Buckingham_Palace,17,Civilization,Buildings and structures,21
Christ the Redeemer (statue),/wiki/Christ_the_Redeemer_(statue),16,Civilization,Buildings and structures,25
Kaaba,/wiki/Kaaba,16,Civilization,Buildings and structures,25
New York Stock Exchange,/wiki/New_York_Stock_Exchange,15,Civilization,Buildings and structures,27
Parthenon,/wiki/Parthenon,15,Civilization,Buildings and structures,27
"Pantheon, Rome","/wiki/Pantheon,_Rome",14,Civilization,Buildings and structures,29
Disneyland,/wiki/Disneyland,14,Civilization,Buildings and structures,29
Colossus of Rhodes,/wiki/Colossus_of_Rhodes,14,Civilization,Buildings and structures,29
ADX Florence,/wiki/ADX_Florence,14,Civilization,Buildings and structures,29
Notre-Dame de Paris,/wiki/Notre-Dame_de_Paris,13,Civilization,Buildings and structures,33
Wembley Stadium,/wiki/Wembley_Stadium,13,Civilization,Buildings and structures,33
World Trade Center (1973–2001),/wiki/World_Trade_Center_(1973%E2%80%932001),13,Civilization,Buildings and structures,33
Westminster Abbey,/wiki/Westminster_Abbey,13,Civilization,Buildings and structures,33
Windsor Castle,/wiki/Windsor_Castle,13,Civilization,Buildings and structures,33
Georgia Guidestones,/wiki/Georgia_Guidestones,13,Civilization,Buildings and structures,33
Statue of Unity,/wiki/Statue_of_Unity,12,Civilization,Buildings and structures,39
Suez Canal,/wiki/Suez_Canal,12,Civilization,Buildings and structures,39
Walt Disney World,/wiki/Walt_Disney_World,12,Civilization,Buildings and structures,39
Channel Tunnel,/wiki/Channel_Tunnel,12,Civilization,Buildings and structures,39
Forbidden City,/wiki/Forbidden_City,12,Civilization,Buildings and structures,39
Willis Tower,/wiki/Willis_Tower,12,Civilization,Buildings and structures,39
Timbuktu [b],/wiki/Timbuktu,11,Civilization,Buildings and structures,45
Taipei 101,/wiki/Taipei_101,11,Civilization,Buildings and structures,45
Arc de Triomphe,/wiki/Arc_de_Triomphe,11,Civilization,Buildings and structures,45
Lighthouse of Alexandria,/wiki/Lighthouse_of_Alexandria,11,Civilization,Buildings and structures,45
Mohenjo-daro [b],/wiki/Mohenjo-daro,10,Civilization,Buildings and structures,49
John F. Kennedy International Airport,/wiki/John_F._Kennedy_International_Airport,10,Civilization,Buildings and structures,49
Temple of Artemis,/wiki/Temple_of_Artemis,10,Civilization,Buildings and structures,49
Library of Alexandria,/wiki/Library_of_Alexandria,10,Civilization,Buildings and structures,49
Brooklyn Bridge,/wiki/Brooklyn_Bridge,10,Civilization,Buildings and structures,49
Code of Hammurabi,/wiki/Code_of_Hammurabi,10,Civilization,Buildings and structures,49
Leaning Tower of Pisa,/wiki/Leaning_Tower_of_Pisa,9.6,Civilization,Buildings and structures,55
Statue of Zeus at Olympia,/wiki/Statue_of_Zeus_at_Olympia,9.2,Civilization,Buildings and structures,56
Acropolis of Athens,/wiki/Acropolis_of_Athens,9.2,Civilization,Buildings and structures,56
New York City Subway,/wiki/New_York_City_Subway,9.0,Civilization,Buildings and structures,58
Dome of the Rock,/wiki/Dome_of_the_Rock,8.9,Civilization,Buildings and structures,59
Great Sphinx of Giza,/wiki/Great_Sphinx_of_Giza,8.8,Civilization,Buildings and structures,60
Palace of Versailles,/wiki/Palace_of_Versailles,8.7,Civilization,Buildings and structures,61
Wall Street,/wiki/Wall_Street,8.4,Civilization,Buildings and structures,62
Antilia (building),/wiki/Antilia_(building),8.3,Civilization,Buildings and structures,63
David (Michelangelo),/wiki/David_(Michelangelo),8.2,Civilization,Buildings and structures,64
Church of the Holy Sepulchre,/wiki/Church_of_the_Holy_Sepulchre,8.2,Civilization,Buildings and structures,64
7 World Trade Center,/wiki/7_World_Trade_Center,8.1,Civilization,Buildings and structures,66
Al-Aqsa Mosque,/wiki/Al-Aqsa_Mosque,8.1,Civilization,Buildings and structures,66
Göbekli Tepe [b],/wiki/G%C3%B6bekli_Tepe,7.9,Civilization,Buildings and structures,68
Moai,/wiki/Moai,7.8,Civilization,Buildings and structures,69
Chichen Itza [b],/wiki/Chichen_Itza,7.5,Civilization,Buildings and structures,70
Epcot,/wiki/Epcot,7.4,Civilization,Buildings and structures,71
Petronas Towers,/wiki/Petronas_Towers,7.4,Civilization,Buildings and structures,71
Hoover Dam,/wiki/Hoover_Dam,7.2,Civilization,Buildings and structures,73
Terracotta Army,/wiki/Terracotta_Army,7.0,Civilization,Buildings and structures,74
Tower of London,/wiki/Tower_of_London,7.0,Civilization,Buildings and structures,74
Red Fort,/wiki/Red_Fort,6.9,Civilization,Buildings and structures,76
Delhi Metro,/wiki/Delhi_Metro,6.9,Civilization,Buildings and structures,76
Jeddah Tower,/wiki/Jeddah_Tower,6.8,Civilization,Buildings and structures,78
